지점,지점명,일시,기온(°C),강수량(mm)
108,서울,2018-07-04 19:00,28.2,
108,서울,2018-07-04 20:00,27.1,
108,서울,2018-07-04 21:00,26.2,
108,서울,2018-07-04 22:00,25.1,
108,서울,2018-07-04 23:00,24.7,
108,서울,2018-07-05 00:00,24.2,
108,서울,2018-07-05 01:00,23.9,
108,서울,2018-07-05 02:00,23.6,
108,서울,2018-07-05 03:00,23.5,
108,서울,2018-07-05 04:00,23.5,
108,서울,2018-07-05 05:00,23.5,
108,서울,2018-07-05 06:00,23.5,0
108,서울,2018-07-05 07:00,23.5,.5
108,서울,2018-07-05 08:00,23.6,0
108,서울,2018-07-05 09:00,24.2,0
108,서울,2018-07-05 10:00,25.6,
108,서울,2018-07-05 11:00,26.3,
108,서울,2018-07-05 12:00,27,
108,서울,2018-07-05 13:00,28.1,
108,서울,2018-07-05 14:00,28.3,
108,서울,2018-07-05 15:00,28.8,
108,서울,2018-07-05 16:00,28.2,
108,서울,2018-07-05 17:00,27.3,0
108,서울,2018-07-05 18:00,26.8,0
108,서울,2018-07-05 19:00,26.7,
108,서울,2018-07-05 20:00,25.8,
108,서울,2018-07-05 21:00,25.2,
108,서울,2018-07-05 22:00,24.4,
108,서울,2018-07-05 23:00,23.9,
108,서울,2018-07-06 00:00,23.5,
108,서울,2018-07-06 01:00,23.1,
108,서울,2018-07-06 02:00,22.8,
108,서울,2018-07-06 03:00,22.6,
108,서울,2018-07-06 04:00,22.6,
108,서울,2018-07-06 05:00,22.5,
108,서울,2018-07-06 06:00,22.4,
108,서울,2018-07-06 07:00,22.6,
108,서울,2018-07-06 08:00,23.2,
108,서울,2018-07-06 09:00,23.3,
108,서울,2018-07-06 10:00,23.7,
108,서울,2018-07-06 11:00,23.9,
108,서울,2018-07-06 12:00,25.7,
108,서울,2018-07-06 13:00,26.2,
108,서울,2018-07-06 14:00,27,
108,서울,2018-07-06 15:00,26.9,
108,서울,2018-07-06 16:00,26.6,
108,서울,2018-07-06 17:00,26.6,
108,서울,2018-07-06 18:00,25.9,
108,서울,2018-07-06 19:00,25,
108,서울,2018-07-06 20:00,23.8,
108,서울,2018-07-06 21:00,23.1,
108,서울,2018-07-06 22:00,22.5,
108,서울,2018-07-06 23:00,22,
108,서울,2018-07-07 00:00,21.5,
108,서울,2018-07-07 01:00,21.1,
108,서울,2018-07-07 02:00,20.7,
108,서울,2018-07-07 03:00,20.4,
108,서울,2018-07-07 04:00,20,
108,서울,2018-07-07 05:00,19.8,
108,서울,2018-07-07 06:00,19.5,
108,서울,2018-07-07 07:00,19.6,
108,서울,2018-07-07 08:00,21.2,
108,서울,2018-07-07 09:00,22.6,
108,서울,2018-07-07 10:00,24,
108,서울,2018-07-07 11:00,25,
108,서울,2018-07-07 12:00,26.4,
108,서울,2018-07-07 13:00,27.5,
108,서울,2018-07-07 14:00,28.3,
108,서울,2018-07-07 15:00,28.7,
108,서울,2018-07-07 16:00,28.9,
108,서울,2018-07-07 17:00,28.9,
108,서울,2018-07-07 18:00,27.8,
108,서울,2018-07-07 19:00,26.1,
108,서울,2018-07-07 20:00,24.6,
108,서울,2018-07-07 21:00,23.4,
108,서울,2018-07-07 22:00,22.6,
108,서울,2018-07-07 23:00,21.7,
108,서울,2018-07-08 00:00,20.7,
108,서울,2018-07-08 01:00,19.9,
108,서울,2018-07-08 02:00,19.3,
108,서울,2018-07-08 03:00,18.8,
108,서울,2018-07-08 04:00,18.4,
108,서울,2018-07-08 05:00,18.1,
108,서울,2018-07-08 06:00,17.8,
108,서울,2018-07-08 07:00,18.2,
108,서울,2018-07-08 08:00,19.1,
108,서울,2018-07-08 09:00,20.8,
108,서울,2018-07-08 10:00,22.5,
108,서울,2018-07-08 11:00,23.8,
108,서울,2018-07-08 12:00,25,
108,서울,2018-07-08 13:00,26.1,
108,서울,2018-07-08 14:00,27.1,
108,서울,2018-07-08 15:00,27.6,
108,서울,2018-07-08 16:00,27.9,
108,서울,2018-07-08 17:00,27.4,
108,서울,2018-07-08 18:00,26.7,
108,서울,2018-07-08 19:00,26.3,
108,서울,2018-07-08 20:00,25.7,
108,서울,2018-07-08 21:00,25.3,
108,서울,2018-07-08 22:00,25,
108,서울,2018-07-08 23:00,24.6,
108,서울,2018-07-09 00:00,24.2,
108,서울,2018-07-09 01:00,23.7,
108,서울,2018-07-09 02:00,22.7,
108,서울,2018-07-09 03:00,21.9,
108,서울,2018-07-09 04:00,21.4,
108,서울,2018-07-09 05:00,21.1,
108,서울,2018-07-09 06:00,21,
108,서울,2018-07-09 07:00,20.9,0
108,서울,2018-07-09 08:00,20.7,.2
108,서울,2018-07-09 09:00,21.1,0
108,서울,2018-07-09 10:00,21.1,0
108,서울,2018-07-09 11:00,20.6,.3
108,서울,2018-07-09 12:00,20.7,0
108,서울,2018-07-09 13:00,20.3,.5
108,서울,2018-07-09 14:00,20.2,.5
108,서울,2018-07-09 15:00,20.3,0
108,서울,2018-07-09 16:00,20.2,1
108,서울,2018-07-09 17:00,20.3,1
108,서울,2018-07-09 18:00,20.3,.5
108,서울,2018-07-09 19:00,20.4,.5
108,서울,2018-07-09 20:00,20.3,1
108,서울,2018-07-09 21:00,20.3,1.5
108,서울,2018-07-09 22:00,20.4,.5
108,서울,2018-07-09 23:00,20.4,1
108,서울,2018-07-10 00:00,20.4,5.5
108,서울,2018-07-10 01:00,20.4,8.5
108,서울,2018-07-10 02:00,20.5,6.5
108,서울,2018-07-10 03:00,20.6,.5
108,서울,2018-07-10 04:00,20.6,0
108,서울,2018-07-10 05:00,20.6,
108,서울,2018-07-10 06:00,20.7,
108,서울,2018-07-10 07:00,21.1,
108,서울,2018-07-10 08:00,21.7,
